Metric,Neighbors,Weights,Minkowski_p,Mean F1-Score,Std F1-Score
minkowski,11,distance,1,0.6245987744000411,0.010023656125650067
manhattan,11,distance,1,0.6245987744000411,0.010023656125650067
manhattan,11,distance,2,0.6245987744000411,0.010023656125650067
manhattan,11,uniform,1,0.6239427807361976,0.010411729214188571
manhattan,11,uniform,2,0.6239427807361976,0.010411729214188571
minkowski,11,uniform,1,0.6239427807361976,0.010411729214188571
manhattan,9,distance,2,0.6238148727491264,0.01009780403768807
manhattan,9,distance,1,0.6238148727491264,0.01009780403768807
minkowski,9,distance,1,0.6238148727491264,0.01009780403768807
minkowski,9,uniform,1,0.6229742114245675,0.010116383614104205
manhattan,9,uniform,2,0.6229742114245675,0.010116383614104205
manhattan,9,uniform,1,0.6229742114245675,0.010116383614104205
manhattan,7,distance,2,0.6169951911245132,0.008437205890329928
minkowski,7,distance,1,0.6169951911245132,0.008437205890329928
manhattan,7,distance,1,0.6169951911245132,0.008437205890329928
manhattan,7,uniform,2,0.6160956711985088,0.008452346882663055
minkowski,7,uniform,1,0.6160956711985088,0.008452346882663055
manhattan,7,uniform,1,0.6160956711985088,0.008452346882663055
minkowski,5,distance,1,0.6098424419175971,0.010690854981640768
manhattan,5,distance,2,0.6098424419175971,0.010690854981640768
manhattan,5,distance,1,0.6098424419175971,0.010690854981640768
manhattan,5,uniform,2,0.6096899315492497,0.01078269501769329
minkowski,5,uniform,1,0.6096899315492497,0.01078269501769329
manhattan,5,uniform,1,0.6096899315492497,0.01078269501769329
euclidean,11,uniform,2,0.599268807578608,0.011125141748401823
minkowski,11,uniform,2,0.599268807578608,0.011125141748401823
euclidean,11,uniform,1,0.599268807578608,0.011125141748401823
euclidean,11,distance,2,0.598973506066333,0.0111185834583579
euclidean,11,distance,1,0.598973506066333,0.0111185834583579
minkowski,11,distance,2,0.598973506066333,0.0111185834583579
manhattan,3,uniform,1,0.5967251759798701,0.011657921192792306
manhattan,3,uniform,2,0.5967251759798701,0.011657921192792306
minkowski,3,uniform,1,0.5967251759798701,0.011657921192792306
minkowski,3,distance,1,0.5964880597898385,0.011573700963167337
manhattan,3,distance,2,0.5964880597898385,0.011573700963167337
manhattan,3,distance,1,0.5964880597898385,0.011573700963167337
euclidean,9,distance,2,0.5964279556158832,0.01151173297153701
minkowski,9,distance,2,0.5964279556158832,0.01151173297153701
euclidean,9,distance,1,0.5964279556158832,0.01151173297153701
minkowski,9,uniform,2,0.5961957508300586,0.011925286602205452
euclidean,9,uniform,1,0.5961957508300586,0.011925286602205452
euclidean,9,uniform,2,0.5961957508300586,0.011925286602205452
minkowski,7,uniform,2,0.5935652295892314,0.01122454359790416
euclidean,7,uniform,1,0.5935652295892314,0.01122454359790416
euclidean,7,uniform,2,0.5935652295892314,0.01122454359790416
euclidean,7,distance,2,0.5933692549040804,0.011108405154318669
minkowski,7,distance,2,0.5933692549040804,0.011108405154318669
euclidean,7,distance,1,0.5933692549040804,0.011108405154318669
minkowski,5,distance,2,0.5883783660118264,0.014246153751943925
euclidean,5,distance,2,0.5883783660118264,0.014246153751943925
euclidean,5,distance,1,0.5883783660118264,0.014246153751943925
minkowski,5,uniform,2,0.5883016966567056,0.014279702265773882
euclidean,5,uniform,2,0.5883016966567056,0.014279702265773882
euclidean,5,uniform,1,0.5883016966567056,0.014279702265773882
minkowski,3,uniform,2,0.5765545853308764,0.010465229018872906
euclidean,3,uniform,2,0.5765545853308764,0.010465229018872906
euclidean,3,uniform,1,0.5765545853308764,0.010465229018872906
euclidean,3,distance,2,0.5762783057136056,0.010743802391516991
euclidean,3,distance,1,0.5762783057136056,0.010743802391516991
minkowski,3,distance,2,0.5762783057136056,0.010743802391516991
chebyshev,5,uniform,2,0.43292837060785344,0.145817088258981
chebyshev,5,uniform,1,0.43292837060785344,0.145817088258981
chebyshev,11,distance,1,0.42677262268371985,0.14940710168529092
chebyshev,11,distance,2,0.42677262268371985,0.14940710168529092
chebyshev,9,distance,2,0.4257853044986388,0.15078476227082313
chebyshev,9,distance,1,0.4257853044986388,0.15078476227082313
chebyshev,9,uniform,2,0.4245251493864374,0.15188846124392652
chebyshev,9,uniform,1,0.4245251493864374,0.15188846124392652
chebyshev,11,uniform,2,0.42260710551284547,0.15282378874300007
chebyshev,11,uniform,1,0.42260710551284547,0.15282378874300007
chebyshev,3,distance,1,0.4133167001530403,0.10008406629323469
chebyshev,3,distance,2,0.4133167001530403,0.10008406629323469
chebyshev,3,uniform,2,0.4110003754206878,0.10082974017213099
chebyshev,3,uniform,1,0.4110003754206878,0.10082974017213099
chebyshev,5,distance,1,0.4067778259960231,0.10069382852192853
chebyshev,5,distance,2,0.4067778259960231,0.10069382852192853
chebyshev,7,distance,1,0.2471478727088793,0.10508647627026388
chebyshev,7,distance,2,0.2471478727088793,0.10508647627026388
chebyshev,7,uniform,1,0.2124915166743218,0.055246702169882436
chebyshev,7,uniform,2,0.2124915166743218,0.055246702169882436
