iter	Passed	Remaining
0	16	8222
1	30	7692
2	51	8501
3	83	10377
4	107	10620
5	123	10184
6	133	9386
7	148	9153
8	168	9219
9	212	10393
10	241	10747
11	253	10319
12	270	10117
13	279	9717
14	293	9483
15	314	9520
16	345	9809
17	369	9892
18	401	10168
19	436	10485
20	449	10259
21	463	10078
22	487	10113
23	515	10231
24	549	10431
25	582	10617
26	606	10618
27	628	10595
28	656	10666
29	671	10522
30	688	10419
31	715	10460
32	750	10618
33	780	10697
34	812	10799
35	850	10962
36	877	10976
37	918	11167
38	946	11186
39	984	11317
40	994	11134
41	1011	11025
42	1027	10918
43	1038	10759
44	1045	10569
45	1058	10450
46	1083	10444
47	1101	10368
48	1112	10241
49	1135	10222
50	1181	10401
51	1207	10399
52	1234	10412
53	1264	10444
54	1295	10477
55	1325	10507
56	1347	10469
57	1374	10476
58	1385	10358
59	1402	10281
60	1416	10195
61	1426	10079
62	1441	10000
63	1469	10008
64	1507	10086
65	1543	10151
66	1573	10167
67	1616	10266
68	1643	10266
69	1673	10279
70	1682	10165
71	1702	10119
72	1736	10160
73	1762	10147
74	1791	10149
75	1827	10197
76	1854	10186
77	1898	10271
78	1924	10258
79	1961	10297
80	1996	10328
81	2033	10367
82	2063	10369
83	2078	10295
84	2096	10236
85	2122	10217
86	2159	10253
87	2201	10307
88	2230	10299
89	2264	10315
90	2293	10309
91	2337	10365
92	2377	10403
93	2423	10466
94	2461	10495
95	2492	10487
96	2515	10448
97	2548	10452
98	2589	10487
99	2617	10469
100	2644	10446
101	2676	10443
102	2701	10413
103	2720	10358
104	2743	10320
105	2776	10319
106	2795	10268
107	2809	10198
108	2833	10162
109	2857	10132
110	2871	10062
111	2891	10018
112	2908	9962
113	2924	9900
114	2947	9867
115	2967	9824
116	2992	9797
117	3032	9818
118	3051	9768
119	3080	9754
120	3117	9765
121	3143	9739
122	3165	9703
123	3180	9644
124	3191	9574
125	3200	9498
126	3231	9490
127	3252	9451
128	3266	9395
129	3290	9364
130	3322	9357
131	3356	9358
132	3393	9363
133	3427	9361
134	3436	9292
135	3453	9241
136	3472	9200
137	3504	9193
138	3544	9206
139	3572	9185
140	3601	9168
141	3632	9157
142	3647	9107
143	3659	9047
144	3676	9001
145	3701	8974
146	3730	8957
147	3766	8957
148	3795	8940
149	3820	8915
150	3862	8927
151	3891	8908
152	3916	8882
153	3956	8889
154	3970	8837
155	3989	8798
156	4029	8803
157	4059	8787
158	4069	8728
159	4101	8715
160	4119	8674
161	4133	8624
162	4146	8572
163	4165	8533
164	4195	8517
165	4207	8466
166	4216	8408
167	4237	8374
168	4266	8355
169	4298	8344
170	4332	8336
