iter	Logloss
0	0.666339552
1	0.6504387999
2	0.6319182442
3	0.6151829959
4	0.6037100127
5	0.5862110038
6	0.5820586886
7	0.5660457848
8	0.5519425693
9	0.5401199277
10	0.5335763139
11	0.5260500863
12	0.5222084952
13	0.5181529156
14	0.5137000849
15	0.5074187669
16	0.5003452393
17	0.4969580696
18	0.4949825395
19	0.4912905957
20	0.4858421173
21	0.4827372395
22	0.4786187239
23	0.4750218962
24	0.4714840105
25	0.469439881
26	0.4678217888
27	0.4659549126
28	0.4644232078
29	0.4619467084
30	0.4610192762
31	0.4591098742
32	0.4570351256
33	0.4561494746
34	0.454297304
35	0.452180876
36	0.450914677
37	0.4498685497
38	0.4482925232
39	0.4474116432
40	0.4468346783
41	0.4459134846
42	0.4454078608
43	0.4439553311
44	0.4426779856
45	0.441442425
46	0.4404686997
47	0.4397458454
48	0.438651223
49	0.4379703748
50	0.4372392792
51	0.4359544095
52	0.4354886825
53	0.4345201395
54	0.4333848449
55	0.4329449246
56	0.4321701681
57	0.4315392579
58	0.4310266704
59	0.4302963674
60	0.429830407
61	0.4288829304
62	0.4282039812
63	0.4272565051
64	0.4264727859
65	0.4260039895
66	0.4255518717
67	0.4252962383
68	0.4246411623
69	0.4236178905
70	0.4235679115
71	0.4234203279
72	0.423087818
73	0.4223763832
74	0.4219184918
75	0.4217219159
76	0.4210460085
77	0.42065475
78	0.4200694218
79	0.4197023191
80	0.419493093
81	0.4191924242
82	0.4186862961
83	0.4184535201
84	0.4181347565
85	0.4174204916
86	0.4167078211
87	0.4160906468
88	0.4155386143
89	0.4149815893
90	0.4145739576
91	0.4139958202
92	0.4137913716
93	0.4134981999
94	0.4132261939
95	0.4127630172
96	0.4120668946
97	0.4119186204
98	0.4119117707
99	0.411888922
100	0.4113247674
101	0.4112854395
102	0.4110781869
103	0.410771364
104	0.4103312768
105	0.4100577109
106	0.4096776647
107	0.4090046351
108	0.4087164621
109	0.4084706353
110	0.4083971095
111	0.4076684148
112	0.4074395618
113	0.4073176359
114	0.4071117144
115	0.4067789844
116	0.4066882116
117	0.4062845034
118	0.4060602832
119	0.4060048804
120	0.405445658
121	0.405145803
122	0.4048904981
123	0.4044452683
124	0.4040449271
125	0.4039079933
126	0.4034238198
127	0.4032549149
128	0.4030118561
129	0.4028132319
130	0.4020859755
131	0.4017467958
132	0.4016146685
133	0.40122304
134	0.4009232663
135	0.4007950106
136	0.4004943078
137	0.3997697306
138	0.3993707318
139	0.3991773691
140	0.3988355447
141	0.3985938124
142	0.3979372806
143	0.3977686209
144	0.3974089322
145	0.3968339994
146	0.396473413
147	0.3962297676
148	0.3960024144
149	0.3958963361
150	0.395646429
151	0.3950682152
152	0.3948173873
153	0.3946349033
154	0.3939270854
155	0.3935516676
156	0.3931591045
157	0.3929851856
158	0.3928356393
159	0.3924751181
160	0.3922584025
161	0.3918788723
162	0.3918559255
163	0.3916054172
164	0.3912116274
165	0.391157921
166	0.3909342822
167	0.3906584474
168	0.3902742413
169	0.3897977275
170	0.3893378574
171	0.3892173598
172	0.3889676971
173	0.3886789704
174	0.3881848821
175	0.3878711203
176	0.3875648463
177	0.3873811783
178	0.3869496425
179	0.386791873
180	0.3863856787
181	0.3859089273
182	0.3852419061
183	0.3845288405
184	0.384071355
185	0.3834618175
186	0.3830619815
187	0.382753932
188	0.3822267318
189	0.3815933969
190	0.3810633275
191	0.3804071342
192	0.3797361657
193	0.3792339838
194	0.3785466358
195	0.378090691
196	0.3774040071
197	0.3769750512
198	0.3762404261
199	0.3757668842
200	0.375296994
201	0.3745476745
202	0.3736800074
203	0.3731708754
204	0.3726183518
205	0.3721021209
206	0.3716206207
207	0.3710386511
208	0.3706790355
209	0.3701750147
210	0.3696586675
211	0.3690517313
212	0.3682922794
213	0.3677797743
214	0.3672080635
215	0.3667015156
216	0.3660145367
217	0.3652813926
218	0.3646431207
219	0.364098249
220	0.3635185945
221	0.3628534691
222	0.3623331804
223	0.3618536209
224	0.3613660781
225	0.3606421963
226	0.3601990274
227	0.3595174451
228	0.3587846416
229	0.3582074624
230	0.3577226455
231	0.3570221972
232	0.3562932493
233	0.3557790113
234	0.3549774854
