iter	Passed	Remaining
0	15	7779
1	38	9684
2	81	13491
3	103	12877
4	118	11708
5	161	13306
6	178	12562
7	192	11825
8	207	11310
9	219	10768
10	231	10281
11	241	9841
12	265	9963
13	296	10286
14	308	9963
15	325	9835
16	339	9647
17	355	9530
18	381	9649
19	406	9764
20	440	10043
21	480	10446
22	503	10439
23	516	10246
24	530	10082
25	577	10525
26	612	10736
27	648	10935
28	686	11141
29	696	10907
30	705	10676
31	718	10508
32	744	10529
33	785	10770
34	828	11007
35	863	11133
36	890	11142
37	919	11180
38	948	11215
39	975	11213
40	1018	11403
41	1051	11462
42	1074	11421
43	1103	11433
44	1121	11337
45	1133	11187
46	1153	11116
47	1197	11279
48	1238	11397
49	1271	11445
50	1307	11509
51	1337	11527
52	1387	11700
53	1418	11714
54	1436	11622
55	1447	11477
56	1462	11369
57	1483	11307
58	1517	11344
59	1558	11427
60	1588	11431
61	1616	11422
62	1658	11502
63	1668	11368
64	1692	11326
65	1735	11411
66	1763	11398
67	1782	11326
68	1810	11307
69	1852	11380
70	1879	11355
71	1902	11308
72	1941	11357
73	1970	11345
74	2003	11351
75	2033	11344
76	2069	11369
77	2113	11434
78	2147	11442
79	2183	11463
80	2215	11460
81	2231	11374
82	2250	11308
83	2268	11236
84	2307	11264
85	2338	11255
86	2364	11223
87	2389	11186
88	2399	11079
89	2411	10984
90	2425	10902
91	2438	10814
92	2460	10767
93	2492	10764
94	2526	10771
95	2541	10697
96	2566	10663
97	2592	10636
98	2617	10602
99	2640	10563
100	2674	10564
101	2698	10530
102	2725	10506
103	2736	10419
104	2760	10386
105	2788	10363
106	2819	10353
107	2839	10307
108	2876	10320
109	2923	10366
110	2958	10369
111	2996	10382
112	3026	10365
113	3063	10372
114	3093	10356
115	3118	10323
116	3143	10289
117	3164	10242
118	3177	10171
119	3201	10137
120	3228	10111
121	3244	10051
122	3269	10022
123	3300	10008
124	3315	9947
125	3343	9924
126	3380	9927
127	3405	9897
128	3447	9915
129	3494	9945
130	3528	9938
131	3568	9949
132	3597	9927
133	3646	9958
134	3690	9976
135	3723	9965
136	3761	9965
137	3795	9955
138	3808	9890
139	3820	9824
140	3843	9786
141	3870	9757
142	3902	9743
143	3928	9711
144	3955	9685
145	3988	9670
146	4017	9646
147	4047	9626
148	4075	9599
149	4087	9536
150	4103	9485
151	4116	9424
152	4128	9362
153	4140	9302
154	4150	9238
155	4167	9190
156	4187	9149
157	4229	9155
158	4255	9126
159	4280	9095
160	4323	9103
161	4353	9082
162	4377	9050
163	4418	9051
164	4455	9046
165	4470	8994
166	4479	8932
167	4498	8890
168	4528	8870
169	4563	8859
170	4598	8848
171	4629	8828
172	4668	8823
173	4703	8811
174	4738	8799
175	4776	8792
176	4789	8740
177	4800	8684
178	4824	8652
179	4862	8644
180	4904	8644
181	4939	8631
182	4978	8623
183	5011	8606
184	5042	8585
185	5076	8570
186	5108	8551
187	5156	8558
188	5189	8539
189	5218	8515
190	5234	8468
191	5247	8418
192	5272	8386
193	5304	8366
194	5333	8341
195	5359	8313
196	5405	8313
197	5446	8307
198	5470	8274
199	5496	8244
200	5527	8221
201	5545	8180
202	5559	8134
203	5594	8117
204	5636	8111
205	5666	8087
206	5701	8070
207	5712	8019
208	5725	7971
209	5743	7931
210	5766	7898
211	5776	7847
212	5796	7810
213	5828	7789
214	5869	7781
215	5884	7736
216	5897	7691
217	5910	7646
218	5929	7607
219	5953	7577
220	5998	7572
221	6010	7526
222	6025	7484
223	6034	7435
224	6058	7404
225	6102	7399
226	6128	7370
227	6147	7334
228	6157	7286
229	6170	7243
230	6191	7210
231	6216	7181
232	6234	7144
233	6246	7100
234	6285	7087
