iter	Logloss
0	0.6839300758
1	0.6750609161
2	0.6665161834
3	0.6583378795
4	0.6506832321
5	0.6433223198
6	0.6363536234
7	0.6295501677
8	0.6231400991
9	0.6169158729
10	0.61094562
11	0.6053452737
12	0.5999087057
13	0.5947292194
14	0.5897736402
15	0.5851657248
16	0.5806548989
17	0.5763312214
18	0.5723017244
19	0.568416087
20	0.5647602542
21	0.5609322428
22	0.5576002558
23	0.5541446196
24	0.5508648467
25	0.5479302502
26	0.5450909132
27	0.5421661258
28	0.53954891
29	0.5370596941
30	0.5346005048
31	0.5322448283
32	0.5299857874
33	0.5276897305
34	0.5256461462
35	0.5236165024
36	0.5216197197
37	0.5198002028
38	0.5178724185
39	0.5161568062
40	0.5143200149
41	0.5127686116
42	0.5111836545
43	0.5097269978
44	0.5081125489
45	0.5065912296
46	0.5051789006
47	0.5038822429
48	0.5024786916
49	0.5011937579
50	0.4999136583
51	0.4987929515
52	0.4977268313
53	0.4967213043
54	0.4957059594
55	0.4946762101
56	0.4935971767
57	0.4924909832
58	0.4915127091
59	0.4906487226
60	0.4897338152
61	0.4887993859
62	0.4880354433
63	0.487203126
64	0.4864022907
65	0.4856092645
66	0.484813059
67	0.4840942535
68	0.4833611679
69	0.4826596506
70	0.4819392489
71	0.4812459041
72	0.4804771979
73	0.4798604746
74	0.4792661812
75	0.478664042
76	0.4780059848
77	0.4773661314
78	0.4767932297
79	0.4762549756
80	0.4757001721
81	0.4750673985
82	0.474508204
83	0.4738732976
84	0.473385028
85	0.4728296767
86	0.4723511278
87	0.4717524574
88	0.471295981
89	0.4707974425
90	0.4702754404
91	0.4697157338
92	0.4691972579
93	0.4686854414
94	0.4682196695
95	0.4677707135
96	0.467343083
97	0.4669361999
98	0.4665409766
99	0.4660871823
100	0.4656882483
101	0.4652936339
102	0.4649196527
103	0.4644244402
104	0.4639762484
105	0.4635455525
106	0.4631015176
107	0.4627434799
108	0.4623591827
109	0.4619548288
110	0.4615708838
111	0.4612420236
112	0.4609086193
113	0.4605523679
114	0.4602303421
115	0.4598499187
116	0.4595077273
117	0.4591963633
118	0.4589041887
119	0.4586027932
120	0.4582773276
121	0.4579894651
122	0.457648178
123	0.4573090615
124	0.4570168693
125	0.4566907015
126	0.4563907535
127	0.4560466027
128	0.4557238145
129	0.4554257443
130	0.4551280912
131	0.4548339355
132	0.4545853122
133	0.4542912239
134	0.4539930456
135	0.4536968303
136	0.4534216979
137	0.4531609634
138	0.4528881011
139	0.4526467378
140	0.4523732131
141	0.452094815
142	0.4518486606
143	0.4515903281
144	0.4513114459
145	0.4510394785
146	0.450790641
147	0.4505634952
148	0.4503083965
149	0.4500704215
150	0.4498255899
151	0.4495613892
152	0.4492606927
153	0.448965945
154	0.4486342583
155	0.4483674806
156	0.4481385919
157	0.4479058394
158	0.4476781043
159	0.4474425961
160	0.447184431
161	0.4469397331
162	0.4467284178
163	0.4464732402
164	0.4462613904
165	0.4460274606
166	0.4458027059
167	0.4456341881
168	0.4454730413
169	0.4453091913
170	0.4450574079
171	0.4447900155
172	0.4446024589
173	0.444436833
174	0.4442738187
175	0.4440885389
176	0.4438521058
177	0.4436317206
178	0.4434438617
179	0.443230599
180	0.4430085949
181	0.4428181939
182	0.4426366677
183	0.442373455
184	0.4421643391
185	0.4419901978
186	0.4418424461
187	0.4416715655
188	0.441489012
189	0.441251825
190	0.4410910055
191	0.4408652746
192	0.4407266309
193	0.4405158637
194	0.4403215457
195	0.4401262419
196	0.4399418339
197	0.4397678277
198	0.4395365169
199	0.4393242229
200	0.4391641391
201	0.4389269295
202	0.4387579124
203	0.4385939064
204	0.4384187166
205	0.4382114628
206	0.438035969
207	0.4378564262
208	0.4376502355
209	0.4375354905
210	0.4373736635
211	0.4371616907
212	0.4370152077
213	0.4368607393
214	0.4366673123
215	0.4364900701
216	0.4362610833
217	0.4360632622
218	0.4359399433
219	0.4357865692
220	0.4355631741
221	0.4353778936
222	0.4352289666
223	0.4350400576
224	0.4348289469
225	0.4346822469
226	0.434526445
227	0.4343976646
228	0.4341546981
229	0.4340285213
230	0.4338352923
231	0.4336383624
232	0.4335208021
233	0.4333671557
234	0.4331739379
235	0.4329843333
236	0.4328687772
237	0.4327454506
238	0.4326059077
239	0.4323982737
240	0.4322345709
241	0.4320925112
242	0.4319579521
243	0.4317883808
244	0.4316280581
245	0.4314674355
246	0.4313378685
247	0.4312106226
248	0.4310315295
249	0.4308187601
250	0.4306437066
251	0.4304866063
252	0.4303523196
253	0.4302051692
254	0.4300618454
255	0.429877534
256	0.4297476762
257	0.4295491179
258	0.4293482213
259	0.4291931202
260	0.4290147511
261	0.428853488
262	0.4287146735
263	0.4285403662
264	0.4283760833
265	0.4282357136
266	0.4281249669
267	0.4280296865
268	0.4278762404
269	0.4277216984
270	0.427561575
271	0.4274332679
272	0.4273060415
273	0.4271968933
274	0.4270571258
275	0.4269080274
276	0.4267568372
277	0.4265980858
278	0.4264158068
279	0.4262632299
280	0.4261338373
281	0.4259918423
282	0.4258682579
283	0.4257393114
284	0.4255799329
285	0.4253989298
286	0.4252916139
287	0.4251252995
288	0.4250040891
289	0.4248683704
290	0.4247021591
291	0.4245439454
292	0.4243998236
293	0.4242802903
294	0.4241420994
295	0.4239709836
296	0.4238224874
297	0.4236958735
298	0.4235800878
299	0.4234034994
300	0.423302884
301	0.4231966755
302	0.4230724548
303	0.4229181903
304	0.4227916547
305	0.4226483948
306	0.4224924879
307	0.4223631659
308	0.4222180409
309	0.422067629
310	0.4219250208
311	0.4218170385
312	0.4217134303
313	0.4215690664
314	0.4214232437
315	0.4212841241
316	0.421164725
317	0.4210552576
318	0.4209274423
319	0.4208013063
320	0.4206905949
321	0.4205388666
322	0.4204000762
323	0.4202357152
324	0.4200851734
325	0.4199570648
326	0.419819708
327	0.4196465574
328	0.4194939252
329	0.4194058346
330	0.419295843
331	0.4191924212
332	0.4190624813
333	0.4189564973
334	0.4188160234
335	0.4186584995
336	0.4185002409
337	0.4183846639
338	0.4182194755
339	0.4180897976
340	0.4179530602
341	0.4177839748
342	0.4176934606
343	0.4175509976
344	0.4174255544
345	0.417299557
346	0.4171589993
347	0.417013591
348	0.416860228
349	0.4167115884
350	0.4166091344
351	0.4164557292
352	0.41629097
353	0.4161963387
354	0.4160583928
355	0.4159186142
356	0.4157972232
357	0.4157049227
358	0.4155828014
359	0.4155057247
360	0.4154048628
361	0.4152859626
362	0.4151639977
363	0.4150839951
364	0.415018529
365	0.4149028192
366	0.4147361455
367	0.4146183215
368	0.4144662968
369	0.4143286856
370	0.4141930576
371	0.4140479261
372	0.4139128542
373	0.4137889552
374	0.4136408179
375	0.4135243596
376	0.4133698539
377	0.4132488576
378	0.413095006
379	0.4129374991
380	0.4128460203
381	0.4127409583
382	0.4126150138
383	0.4124984318
384	0.4123468466
385	0.4122552782
386	0.412110117
387	0.4120007523
388	0.4119499242
389	0.4118147796
390	0.4116959928
391	0.4115992683
392	0.4114774373
393	0.4113270623
394	0.4112149255
395	0.4110965897
396	0.4109463739
397	0.4108141733
398	0.4106760597
399	0.4105750308
400	0.410427284
401	0.4103256254
402	0.410216499
403	0.4100843154
404	0.4099513906
405	0.4098303084
406	0.4096920112
407	0.4096186263
408	0.4094849956
409	0.4093250803
410	0.4092076563
411	0.4091057502
412	0.4089866405
413	0.4088715365
414	0.4087696681
415	0.408559887
416	0.4084470574
417	0.4082842108
418	0.4081852102
419	0.4080858231
420	0.4079590053
421	0.4078634055
422	0.4077334825
423	0.407640594
424	0.4075149697
425	0.4073907893
426	0.4072312524
427	0.4071465287
428	0.4070277073
429	0.4068583898
430	0.4067072953
431	0.4065813945
432	0.4064453476
433	0.4063916128
434	0.4062500649
435	0.4061649894
436	0.4060431557
437	0.4059420113
438	0.4058087366
439	0.4056961723
440	0.405547418
441	0.4053938529
442	0.4052890154
443	0.4051797109
444	0.4050622324
445	0.4049032516
446	0.4047960791
447	0.4046422645
448	0.404541754
449	0.4044062609
450	0.4043050586
451	0.4042155834
452	0.4041454719
453	0.4040575577
454	0.4039425246
455	0.4038173301
456	0.4037578286
457	0.403598554
458	0.4034578129
459	0.4033176544
460	0.4031977019
461	0.4030746494
462	0.4029938013
463	0.4028536251
464	0.4027926883
465	0.4026373006
466	0.4025381134
467	0.4024058298
468	0.402310375
469	0.4021791492
470	0.4020503212
471	0.4019516337
472	0.4017880273
473	0.4016854703
474	0.4015647709
475	0.401506158
476	0.4014218518
477	0.4012759704
478	0.4011327379
479	0.401044767
480	0.4009569742
481	0.4008687323
482	0.4007253987
483	0.4006185003
484	0.4004877237
485	0.4004297799
486	0.4003661126
487	0.400264134
488	0.4001895512
489	0.400081582
490	0.3999335684
491	0.3998477975
492	0.3997092224
493	0.3996080029
494	0.3994820806
495	0.3994350954
496	0.399328219
497	0.399216854
498	0.399076375
499	0.3989798604
