iter	Logloss
0	0.6666828391
1	0.6506570302
2	0.6319634111
3	0.6151745165
4	0.6035278015
5	0.585945311
6	0.5817516795
7	0.5658417791
8	0.5517688754
9	0.540121695
10	0.5334248164
11	0.5258521901
12	0.521875206
13	0.5178432525
14	0.5149967734
15	0.5083013527
16	0.5007593338
17	0.4986405439
18	0.4964225465
19	0.4917982338
20	0.4863222001
21	0.4818826957
22	0.4778167489
23	0.4742721092
24	0.4706579225
25	0.4686347062
26	0.4670083621
27	0.4647201827
28	0.4633263514
29	0.4608843071
30	0.4599607765
31	0.4581730073
32	0.4561538768
33	0.4551733831
34	0.4531092486
35	0.4509732743
36	0.4499112244
37	0.4489323762
38	0.4474664083
39	0.4464600718
40	0.4459886282
41	0.4450721398
42	0.4442049838
43	0.4428677086
44	0.4424496562
45	0.4416253168
46	0.4416209086
47	0.4410522486
48	0.4401718153
49	0.4385995906
50	0.4382049216
51	0.4378051547
52	0.4369447268
53	0.43548736
54	0.4352274652
55	0.4346175274
56	0.4340306436
57	0.4334685729
58	0.4324567848
59	0.4319140034
60	0.4309855955
61	0.4306204888
62	0.4294061782
63	0.4280910166
64	0.4274186483
65	0.4259714607
66	0.4253230482
67	0.4251631646
68	0.424657243
69	0.4240815456
70	0.4240211226
71	0.4240151152
72	0.4233128056
73	0.4226854666
74	0.421780157
75	0.4213113166
76	0.4211200754
77	0.4206064109
78	0.4197880145
79	0.4190795587
80	0.4190294739
81	0.4189044506
82	0.4186160637
83	0.4181701857
84	0.4176358548
85	0.4170161921
86	0.4170016889
87	0.4167078143
88	0.4162483961
89	0.4155270184
90	0.415438064
91	0.415189547
92	0.4140882867
93	0.4138248863
94	0.4132037314
95	0.4130660316
96	0.4127071515
97	0.4124940106
98	0.4120387473
99	0.4116997609
100	0.411617483
101	0.4114795286
102	0.411060739
103	0.4102921689
104	0.410286754
105	0.4100708286
106	0.4098225208
107	0.409352458
108	0.4090912829
109	0.408910923
110	0.4087193231
111	0.408528009
112	0.4085279698
113	0.4085278505
114	0.4076723319
115	0.4076229356
116	0.4075827413
117	0.4071052313
118	0.4067606699
119	0.4063178771
120	0.4057637234
121	0.4055024242
122	0.4050217013
123	0.4049734337
124	0.4049196926
125	0.4046165026
126	0.4042284399
127	0.4039504105
128	0.4035420546
129	0.4034711074
130	0.4033298928
131	0.4028467734
132	0.4026427357
133	0.4023538779
134	0.4022300822
135	0.4021949556
136	0.4017829832
137	0.4017199504
138	0.4012808935
139	0.4009538432
140	0.40074122
141	0.4004972205
142	0.400124129
143	0.3999378176
144	0.3995678021
145	0.3992789314
146	0.3989630202
147	0.3985037975
148	0.3982770756
149	0.3980639284
150	0.3974528235
151	0.3972247972
152	0.3970832649
153	0.3969422306
154	0.3964437373
155	0.39639539
156	0.3961561804
157	0.3956461234
158	0.3953727723
159	0.39533843
160	0.3949289872
161	0.3941876992
162	0.3939454881
163	0.3933591917
164	0.3930069679
165	0.3926661688
166	0.3919718671
167	0.3912221087
168	0.3905628834
169	0.3903916104
170	0.3902061786
171	0.3899407617
172	0.3896878727
173	0.3896147176
174	0.3893266847
175	0.389089721
176	0.3888087917
177	0.388551062
178	0.3880379247
179	0.3875856937
180	0.3871126518
181	0.3866753681
182	0.3864783218
183	0.386201826
184	0.3855016085
185	0.3853722932
186	0.3849052297
187	0.3844604376
188	0.3840871404
189	0.3836933608
190	0.3824844242
191	0.3815355048
192	0.3809541938
193	0.3805341955
194	0.3799039647
195	0.3793933114
196	0.3789876668
197	0.3783088156
198	0.3773750403
199	0.3768216296
200	0.3761799442
201	0.3755999402
202	0.3748063227
203	0.3742657397
204	0.3737259047
205	0.373192503
206	0.3727595988
207	0.3720857166
208	0.3716675525
209	0.3710265314
210	0.3706410009
211	0.3701556118
212	0.3696569723
213	0.3691875259
214	0.3686897996
215	0.3680802835
216	0.3673303123
217	0.3667324341
218	0.3660077879
