mean_test_score,param_estimator__C,param_estimator__penalty,param_estimator__solver
0.8117541396847237,0.0002540948155401949,l2,saga
0.8516144230326852,0.0177230526449173,l1,saga
0.824098532579197,0.0006550591696336159,l2,saga
0.8581154700551018,8478.596880016878,l2,liblinear
0.8282446204842107,0.002991541615968868,l1,saga
0.5,0.0001431748461646212,l1,liblinear
0.8584319875255397,0.7296010496518033,l1,saga
0.8581162578065754,637607.0452227774,l2,liblinear
0.858205285558682,1.8773560868383927,l2,liblinear
0.8581455437664799,7.361363085424617,l2,liblinear
0.7927208125974158,1.0278675826699745e-06,l2,liblinear
0.8581162923496726,1000000.0,l1,saga
0.8581162672164154,1000000.0,l2,saga
0.8581163531524023,1971.0978772059702,l1,saga
0.795643916113351,2.563491353175967e-05,l2,saga
0.8581161060139177,221750.11932076668,l1,saga
0.8581163944506882,855134.8564218858,l1,saga
0.8581163837523824,1062.5874896063458,l2,saga
0.8581166987206803,183836.5129569804,l1,saga
0.8581163024693241,350403.40878648404,l1,saga
0.8581161896681984,524096.1134422373,l1,saga
0.8581174695499593,1000000.0,l1,liblinear
0.8582398155809846,1.2903589056986782,l2,saga
0.8584638479768593,0.5970243639051798,l1,liblinear
0.8581171732092617,308.5072950019815,l1,liblinear
0.7926597168177922,1e-06,l2,saga
0.8581212268025646,33.804128149471396,l2,saga
0.8583426753684691,0.09709847739073962,l2,saga
0.8581163531797458,59098.737522645686,l1,liblinear
0.85816907898962,5.5156626460496385,l1,liblinear
0.8581189125687729,53.93742498934284,l1,liblinear
0.8581163363383275,16744.626671889135,l2,saga
0.858118174154819,164.065116625981,l1,saga
0.858116534645385,51153.532427814825,l1,liblinear
0.8581237212299815,31.749886457035704,l1,liblinear
0.8581230472152267,32.75504386997537,l1,liblinear
0.8581236855346518,32.36990670001913,l1,liblinear
0.8581621166141119,6.936992072189667,l1,saga
0.8581272150663191,26.152318763289532,l1,liblinear
0.8581232077782225,33.65457108423224,l1,liblinear
0.8461584790229418,0.0047968423875532325,l2,liblinear
0.8581163132051743,359.36637198428065,l2,liblinear
0.8583377350816725,0.41303319647510006,l2,saga
0.8583328604651573,0.4272686324432952,l2,saga
0.8581183205757297,123.3367740687405,l1,saga
0.8581028536383812,0.08844347045813385,l2,liblinear
0.8581155839783456,101582.23324913385,l2,liblinear
0.8581164301474713,176525.36470794646,l2,saga
0.5,1e-06,l1,saga
0.8581170684139448,8355.449626983072,l1,liblinear
