iter	Logloss
0	0.6661871047
1	0.650317206
2	0.6322158604
3	0.6153350099
4	0.6039792118
5	0.5866945554
6	0.5825381355
7	0.5669662645
8	0.5531311273
9	0.5415381864
10	0.5351097104
11	0.5277336293
12	0.5236352768
13	0.5195178845
14	0.5165709157
15	0.5099895827
16	0.5027105959
17	0.4991840909
18	0.4971267295
19	0.4932538808
20	0.4879283734
21	0.4844826368
22	0.480533716
23	0.4769105529
24	0.4731273812
25	0.4706718888
26	0.4690883021
27	0.4668707183
28	0.4652593799
29	0.4628181721
30	0.4618789455
31	0.4600595978
32	0.4582115668
33	0.4563023041
34	0.45536114
35	0.4543293069
36	0.4534257762
37	0.4519092461
38	0.4511741837
39	0.4502202954
40	0.4486638132
41	0.4482336156
42	0.4477569524
43	0.4470726751
44	0.4470067336
45	0.4458926098
46	0.4445841563
47	0.4434182063
48	0.4426023648
49	0.4414259912
50	0.4408110451
51	0.4401079057
52	0.4386731379
53	0.4378109221
54	0.4368664987
55	0.4354233453
56	0.4348407271
57	0.4340322443
58	0.433374829
59	0.4328534634
60	0.4320686917
61	0.4315430799
62	0.430281876
63	0.429598603
64	0.4282689114
65	0.4274237705
66	0.4269974386
67	0.4266137297
68	0.4263845474
69	0.4257228299
70	0.4254525243
71	0.424956571
72	0.4243343911
73	0.4234786213
74	0.423023664
75	0.4225246166
76	0.4217654898
77	0.4214124507
78	0.4211773631
79	0.4211603987
80	0.4206910516
81	0.4202223319
82	0.4198888225
83	0.4193892664
84	0.4184401753
85	0.4178260363
86	0.4166526975
87	0.4160234223
88	0.4155762846
89	0.4153338959
90	0.4149094409
91	0.4143776144
92	0.4139830708
93	0.4133874917
94	0.412794248
95	0.4122873482
96	0.4121024834
97	0.4118009423
98	0.4113813156
99	0.4109015726
100	0.4102040848
101	0.4099764217
102	0.4096640949
103	0.4094253615
104	0.4089941508
105	0.408753145
106	0.4083267217
107	0.4082844636
108	0.4080596351
109	0.4079985961
110	0.4079051097
111	0.4077376463
112	0.4073194124
113	0.4068927411
114	0.4065726665
115	0.4064814211
116	0.4060865186
117	0.4056554943
118	0.4056026763
119	0.405059308
120	0.4047526772
121	0.4045789628
122	0.4041563219
123	0.4036932131
124	0.4036045669
125	0.40350099
126	0.4033513046
127	0.4030493176
128	0.4028058011
129	0.4020679106
130	0.4017730375
131	0.4016251568
132	0.4012483094
133	0.4010091875
134	0.4008688492
135	0.4005683441
136	0.3998299608
137	0.399567103
138	0.3993367066
139	0.3989826336
140	0.3987735901
141	0.3980698659
142	0.3978976395
143	0.3975865351
144	0.3969419258
145	0.3966014726
146	0.3964258973
147	0.3963386792
148	0.3962629
149	0.3960572516
150	0.3955935057
151	0.3953615363
152	0.3953465687
153	0.3949981799
154	0.3946578379
155	0.3943881731
156	0.3941424906
157	0.3936295795
158	0.3934159504
159	0.3930869371
160	0.3924637999
161	0.3921165035
162	0.3916055668
163	0.3914426356
164	0.3910452104
165	0.390887858
166	0.3906766711
167	0.3904590394
168	0.3899757464
169	0.3895401791
170	0.3893214081
