Metric,Neighbors,Weights,Minkowski_p,Mean F1-Score,Std F1-Score
minkowski,11,distance,1,0.602952021151218,0.008130575593052322
manhattan,11,distance,2,0.602952021151218,0.008130575593052322
manhattan,11,distance,1,0.602952021151218,0.008130575593052322
minkowski,11,uniform,1,0.6025609415044847,0.007453858017245982
manhattan,11,uniform,1,0.6025609415044847,0.007453858017245982
manhattan,11,uniform,2,0.6025609415044847,0.007453858017245982
manhattan,9,distance,2,0.6007999547482983,0.009250669714104893
manhattan,9,distance,1,0.6007999547482983,0.009250669714104893
minkowski,9,distance,1,0.6007999547482983,0.009250669714104893
manhattan,9,uniform,1,0.6005814377107443,0.01010185714911361
manhattan,9,uniform,2,0.6005814377107443,0.01010185714911361
minkowski,9,uniform,1,0.6005814377107443,0.01010185714911361
minkowski,7,uniform,1,0.5968498038112584,0.008778354047855482
manhattan,7,uniform,1,0.5968498038112584,0.008778354047855482
manhattan,7,uniform,2,0.5968498038112584,0.008778354047855482
minkowski,7,distance,1,0.5964558504500413,0.00895037600466845
manhattan,7,distance,1,0.5964558504500413,0.00895037600466845
manhattan,7,distance,2,0.5964558504500413,0.00895037600466845
minkowski,5,uniform,1,0.5931524627549696,0.0053564821283898075
manhattan,5,uniform,1,0.5931524627549696,0.0053564821283898075
manhattan,5,uniform,2,0.5931524627549696,0.0053564821283898075
manhattan,5,distance,1,0.5929249786222598,0.005892458825848254
manhattan,5,distance,2,0.5929249786222598,0.005892458825848254
minkowski,5,distance,1,0.5929249786222598,0.005892458825848254
minkowski,3,uniform,1,0.5852391271852808,0.00891473754842824
manhattan,3,uniform,1,0.5852391271852808,0.00891473754842824
manhattan,3,uniform,2,0.5852391271852808,0.00891473754842824
manhattan,3,distance,1,0.58465512016864,0.008895989442452635
manhattan,3,distance,2,0.58465512016864,0.008895989442452635
minkowski,3,distance,1,0.58465512016864,0.008895989442452635
euclidean,9,distance,1,0.5714676016276428,0.010949512879099668
euclidean,9,distance,2,0.5714676016276428,0.010949512879099668
minkowski,9,distance,2,0.5714676016276428,0.010949512879099668
minkowski,9,uniform,2,0.5712227517846029,0.011095768399842594
euclidean,9,uniform,1,0.5712227517846029,0.011095768399842594
euclidean,9,uniform,2,0.5712227517846029,0.011095768399842594
euclidean,7,uniform,1,0.5708225703789797,0.01303077060156788
euclidean,7,uniform,2,0.5708225703789797,0.01303077060156788
minkowski,7,uniform,2,0.5708225703789797,0.01303077060156788
euclidean,11,distance,1,0.5704940204714216,0.010260256491569935
euclidean,11,distance,2,0.5704940204714216,0.010260256491569935
minkowski,11,distance,2,0.5704940204714216,0.010260256491569935
euclidean,7,distance,1,0.5703942878019175,0.013080152224089658
euclidean,7,distance,2,0.5703942878019175,0.013080152224089658
minkowski,7,distance,2,0.5703942878019175,0.013080152224089658
euclidean,11,uniform,2,0.5701246677316932,0.01058555924509046
minkowski,11,uniform,2,0.5701246677316932,0.01058555924509046
euclidean,11,uniform,1,0.5701246677316932,0.01058555924509046
euclidean,5,uniform,2,0.5696563705629181,0.014319066174688
euclidean,5,uniform,1,0.5696563705629181,0.014319066174688
minkowski,5,uniform,2,0.5696563705629181,0.014319066174688
euclidean,5,distance,2,0.5694460829136482,0.014503336591985704
minkowski,5,distance,2,0.5694460829136482,0.014503336591985704
euclidean,5,distance,1,0.5694460829136482,0.014503336591985704
euclidean,3,uniform,2,0.5582392748166305,0.008189592102852321
euclidean,3,uniform,1,0.5582392748166305,0.008189592102852321
minkowski,3,uniform,2,0.5582392748166305,0.008189592102852321
minkowski,3,distance,2,0.5582034486625109,0.008077855110212197
euclidean,3,distance,2,0.5582034486625109,0.008077855110212197
euclidean,3,distance,1,0.5582034486625109,0.008077855110212197
chebyshev,3,distance,2,0.4246404415843698,0.07970882342822716
chebyshev,3,distance,1,0.4246404415843698,0.07970882342822716
chebyshev,3,uniform,2,0.42388174853200056,0.07966767147620098
chebyshev,3,uniform,1,0.42388174853200056,0.07966767147620098
chebyshev,5,distance,1,0.41113216754317,0.07478890611636585
chebyshev,5,distance,2,0.41113216754317,0.07478890611636585
chebyshev,5,uniform,1,0.4089313583914624,0.07538492779369868
chebyshev,5,uniform,2,0.4089313583914624,0.07538492779369868
chebyshev,9,distance,2,0.38530507236340766,0.08529393553673546
chebyshev,9,distance,1,0.38530507236340766,0.08529393553673546
chebyshev,11,distance,1,0.3848204852213487,0.08385516510756649
chebyshev,11,distance,2,0.3848204852213487,0.08385516510756649
chebyshev,11,uniform,2,0.3827883897035992,0.08631249762187587
chebyshev,11,uniform,1,0.3827883897035992,0.08631249762187587
chebyshev,9,uniform,1,0.38212698208598683,0.08739743159730659
chebyshev,9,uniform,2,0.38212698208598683,0.08739743159730659
chebyshev,7,distance,1,0.20585067944647406,0.026869469807789176
chebyshev,7,distance,2,0.20585067944647406,0.026869469807789176
chebyshev,7,uniform,1,0.19978717838428567,0.02743467298942023
chebyshev,7,uniform,2,0.19978717838428567,0.02743467298942023
