mean_test_accuracy,mean_test_roc_auc,param_estimator__solver,param_estimator__penalty,param_estimator__max_iter,param_estimator__tol,param_estimator__fit_intercept
0.6316873391060145,0.8404490488186527,saga,,500,0.001,True
0.6318277556751697,0.8404277684768273,saga,,500,0.0001,True
0.6318277556751697,0.8404275754370392,saga,,500,1e-05,True
0.6317341446290662,0.8408272483935427,lbfgs,,500,0.001,True
0.6317341446290662,0.8404508014307532,lbfgs,,500,0.0001,True
0.6318745611982214,0.8404075124006681,lbfgs,,500,1e-05,True
0.6316873391060145,0.8404512089829017,saga,,1000,0.001,True
0.6318277556751697,0.8404142271272125,saga,,1000,0.0001,True
0.6318277556751697,0.8404142751192012,saga,,1000,1e-05,True
0.6317341446290662,0.8408272483935427,lbfgs,,1000,0.001,True
0.6317341446290662,0.8404508014307532,lbfgs,,1000,0.0001,True
0.631780950152118,0.8404073353555426,lbfgs,,1000,1e-05,True
0.6317341446290663,0.8404501231912919,saga,,2000,0.001,True
0.6318277556751697,0.8404091430100509,saga,,2000,0.0001,True
0.6318277556751697,0.8404087087171556,saga,,2000,1e-05,True
0.6317341446290662,0.8408272483935427,lbfgs,,2000,0.001,True
0.6317341446290662,0.8404508014307532,lbfgs,,2000,0.0001,True
0.631780950152118,0.8404073353555426,lbfgs,,2000,1e-05,True
0.6316873391060145,0.8404489984545755,saga,,500,0.001,False
0.631780950152118,0.840427303963944,saga,,500,0.0001,False
0.6318277556751697,0.8404276319383953,saga,,500,1e-05,False
0.6317341446290662,0.8407241247261693,lbfgs,,500,0.001,False
0.6314065059677042,0.8404329640019069,lbfgs,,500,0.0001,False
0.6318277556751697,0.8404024713974175,lbfgs,,500,1e-05,False
0.6316405335829628,0.8404497061245081,saga,,1000,0.001,False
0.6318277556751697,0.8404137170859312,saga,,1000,0.0001,False
0.6318277556751697,0.8404140772949491,saga,,1000,1e-05,False
0.6317341446290662,0.8407241247261693,lbfgs,,1000,0.001,False
0.6314065059677042,0.8404329640019069,lbfgs,,1000,0.0001,False
0.6316873391060146,0.8404062557369795,lbfgs,,1000,1e-05,False
0.6316873391060145,0.8404494268650915,saga,,2000,0.001,False
0.6318277556751697,0.8404083203173469,saga,,2000,0.0001,False
0.6318277556751697,0.8404084338295765,saga,,2000,1e-05,False
0.6317341446290662,0.8407241247261693,lbfgs,,2000,0.001,False
0.6314065059677042,0.8404329640019069,lbfgs,,2000,0.0001,False
0.6316873391060146,0.8404062557369795,lbfgs,,2000,1e-05,False
