mean_test_score,param_estimator__n_estimators,param_estimator__learning_rate,param_estimator__estimator__max_depth,param_estimator__estimator__min_samples_split,param_estimator__estimator__min_samples_leaf,param_estimator__algorithm
0.8100824811995245,51,0.07595628755300231,1,7,1,SAMME
0.8258362729753805,296,0.2152406372007616,3,18,7,SAMME
0.83651636279036,297,0.23392911720340887,6,19,8,SAMME
0.8283006769824052,296,0.049475894304333475,3,6,9,SAMME
0.8411893723416843,300,0.061375108466158956,7,20,10,SAMME
0.8411334014996825,300,0.0726358156931729,7,20,10,SAMME
0.7902745510325531,52,0.01073510699911267,1,4,7,SAMME
0.8354979092266437,181,0.07363165029207992,10,18,6,SAMME
0.8331367184647718,53,0.02377095023865067,7,8,2,SAMME
0.8409523301087811,238,0.03524291568640519,7,20,10,SAMME
0.8396155816594344,300,0.08545341063985486,8,20,10,SAMME
0.8411625806680882,241,0.04995611998635052,7,20,10,SAMME
0.8132591829698963,57,0.9824619784632996,7,9,10,SAMME
0.8407377895359763,300,0.0312473812505728,7,20,10,SAMME
0.8116225643810864,52,0.35006728265186343,1,19,8,SAMME
0.8343474565958054,168,0.1862299226538882,4,2,1,SAMME
0.8382194408725543,210,0.014810209948208364,7,2,10,SAMME
0.8364791011403859,166,0.03113644307650139,5,18,1,SAMME
0.8400855049971112,172,0.039150680589894786,7,20,10,SAMME
0.8339123147990939,298,0.2851716306691076,9,19,1,SAMME
0.8411765310677275,274,0.07208098476701133,7,20,1,SAMME
0.8404932252286011,300,0.0738629936091377,7,20,1,SAMME
0.8407988393652495,260,0.029258510306391487,7,20,10,SAMME
0.8325286108982572,165,0.01002387889802207,10,10,9,SAMME
0.8402691318286835,260,0.057046807402614794,7,20,10,SAMME
0.8397339364986202,121,0.07875738559323585,8,20,1,SAMME
0.8392215599068304,56,0.1830531001806646,8,2,1,SAMME
0.8402564582751282,248,0.03172168480773978,7,2,10,SAMME
0.8320341546348675,186,0.07476158068103385,4,4,10,SAMME
0.8400909356871058,258,0.09704660032299746,7,20,1,SAMME
0.8409621610907217,300,0.046366914155967366,7,20,10,SAMME
0.8015734867356399,67,0.934628692379956,10,2,10,SAMME
0.8264026879082012,182,0.010542284047095339,4,18,3,SAMME
0.8345391955217185,171,0.3522145411082996,6,19,1,SAMME
0.840760358409477,300,0.04716469894292315,7,20,10,SAMME
0.8370695201404894,221,0.010166599845618102,8,15,4,SAMME
0.8331631156123,172,0.20759119519283847,10,18,9,SAMME
0.8275729976586245,233,0.020669713626207363,3,18,10,SAMME
0.7576504419470396,62,0.9980877103957184,1,16,7,SAMME
0.8395935036401557,300,0.08253430163937599,6,20,1,SAMME
0.8107288035325814,297,0.16082611893782445,1,6,5,SAMME
0.8399763414470274,250,0.024790279337686807,7,20,10,SAMME
0.8407128239087394,172,0.053201924337454916,7,20,1,SAMME
