mean_test_score,param_estimator__C,param_estimator__penalty,param_estimator__solver
0.8581166062418468,20306.747206493976,l1,liblinear
0.8581184503352303,905.1948579717352,l1,saga
0.8581181112840165,1891.3820675788375,l1,saga
0.8576334007119606,0.04632405154638089,l2,liblinear
0.5,0.00011995649807208512,l1,liblinear
0.8581183901128353,1021.6825579663999,l1,saga
0.8586867550354143,0.17293018041221841,l1,saga
0.858117885186522,305448.837093863,l1,saga
0.8536216438266695,0.004269402140882186,l2,saga
0.8581177760407297,27832.116231307267,l2,saga
0.8581151738604295,1000000.0,l2,liblinear
0.8581160896003951,864301.5093276512,l1,liblinear
0.8581167426339095,239.7949034597131,l2,liblinear
0.5,1e-06,l1,saga
0.8582226446783144,2.722312021134414,l1,saga
0.7976563046370009,1e-06,l2,liblinear
0.858168713763544,3.9716875807223655,l2,saga
0.7909834361498159,0.00010512229026955691,l2,liblinear
0.8584878941206118,0.5707684287007943,l1,liblinear
0.858117716303498,114145.98754595444,l2,saga
0.8583473999210371,1.1433325292944412,l1,saga
0.8582223891716456,2.7270821875129534,l1,saga
0.8582329468882804,2.438571773994335,l1,saga
0.8582311768748063,2.453999130740357,l1,saga
0.8582392529859334,2.3496567885970383,l1,saga
0.8582448846197483,2.237172789242319,l1,saga
0.8583342240819606,1.2219412927196358,l1,saga
0.858339765524066,1.1920304524641216,l1,saga
0.8583422275634861,1.1740410194407114,l1,saga
0.8583446564519746,1.159407735083813,l1,saga
0.8582678263737359,1.8458596466287727,l1,saga
0.8583499448093164,1.1177906432940563,l1,saga
0.8583511737187669,1.1126016926190971,l1,saga
0.8582660918940853,1.8682066053237585,l1,saga
0.858269819453831,1.8284873163787962,l1,saga
0.8582800511348434,1.6923856772691885,l1,saga
0.8583599029997153,1.062010783834666,l1,saga
0.858273924141438,1.767416059871531,l1,saga
0.858284995115891,1.6443823973452487,l1,saga
0.858361232691632,1.0417038051552245,l1,saga
0.8583612364527635,1.0417807648831776,l1,saga
0.8583619520942654,1.03926376683687,l1,saga
0.8583621809896117,1.035588162818493,l1,saga
0.8582896728392744,1.5982675131004875,l1,saga
0.8582925652043855,1.5834617686074857,l1,saga
0.858293203840055,1.5698705487061857,l1,saga
0.8583687540579328,1.0097541063430078,l1,saga
0.8582942601430489,1.550693059200136,l1,saga
0.8582957916514047,1.5387118568846934,l1,saga
0.8582874889161637,1.6183301886759789,l1,saga
