mean_test_accuracy,mean_test_roc_auc,param_estimator__solver,param_estimator__penalty,param_estimator__max_iter,param_estimator__tol,param_estimator__fit_intercept
0.6434736895465788,0.8581363535323661,saga,,500,0.001,True
0.6435701331887279,0.8581185608928766,saga,,500,0.0001,True
0.6435701331887279,0.8581187826666159,saga,,500,1e-05,True
0.6442451107898519,0.858307804028918,lbfgs,,500,0.001,True
0.6438594524884552,0.8581462832379915,lbfgs,,500,0.0001,True
0.6434737011732988,0.8581125003858754,lbfgs,,500,1e-05,True
0.6434736895465788,0.8581362967634201,saga,,1000,0.001,True
0.6435701331887279,0.8581178190899539,saga,,1000,0.0001,True
0.6435701331887279,0.8581160709463165,saga,,1000,1e-05,True
0.6442451107898519,0.858307804028918,lbfgs,,1000,0.001,True
0.6438594524884552,0.8581462832379915,lbfgs,,1000,0.0001,True
0.6434737011732988,0.8581125003858754,lbfgs,,1000,1e-05,True
0.6434736895465788,0.8581357764893258,saga,,2000,0.001,True
0.6435219171810134,0.858117761039822,saga,,2000,0.0001,True
0.6435701331887279,0.8581160942696489,saga,,2000,1e-05,True
0.6442451107898519,0.858307804028918,lbfgs,,2000,0.001,True
0.6438594524884552,0.8581462832379915,lbfgs,,2000,0.0001,True
0.6434737011732988,0.8581125003858754,lbfgs,,2000,1e-05,True
0.6434736895465788,0.8581298525406467,saga,,500,0.001,False
0.6435701331887279,0.858118799171183,saga,,500,0.0001,False
0.6435701331887279,0.8581189217300071,saga,,500,1e-05,False
0.6447272824937176,0.8580689516160716,lbfgs,,500,0.001,False
0.6434254851655843,0.8581178575481496,lbfgs,,500,0.0001,False
0.6434254619121443,0.8581148509131028,lbfgs,,500,1e-05,False
0.6434736779198589,0.858130386516567,saga,,1000,0.001,False
0.6435701331887279,0.8581179309851017,saga,,1000,0.0001,False
0.6435701331887279,0.8581160815232302,saga,,1000,1e-05,False
0.6447272824937176,0.8580689516160716,lbfgs,,1000,0.001,False
0.6434254851655843,0.8581178575481496,lbfgs,,1000,0.0001,False
0.6434254619121443,0.8581148509131028,lbfgs,,1000,1e-05,False
0.6434736895465788,0.8581301998258477,saga,,2000,0.001,False
0.6435701331887279,0.8581179611110675,saga,,2000,0.0001,False
0.6435701331887279,0.8581160815232302,saga,,2000,1e-05,False
0.6447272824937176,0.8580689516160716,lbfgs,,2000,0.001,False
0.6434254851655843,0.8581178575481496,lbfgs,,2000,0.0001,False
0.6434254619121443,0.8581148509131028,lbfgs,,2000,1e-05,False
