iter	Passed	Remaining
0	16	8120
1	33	8257
2	46	7626
3	58	7268
4	79	7898
5	109	8985
6	116	8205
7	132	8131
8	160	8758
9	172	8455
10	188	8389
11	203	8265
12	213	8004
13	237	8231
14	262	8483
15	311	9420
16	357	10164
17	392	10510
18	416	10556
19	449	10793
20	470	10738
21	506	11014
22	549	11392
23	577	11451
24	592	11260
25	606	11050
26	620	10865
27	664	11198
28	702	11409
29	741	11610
30	764	11564
31	810	11849
32	847	11996
33	881	12082
34	909	12089
35	941	12134
36	984	12321
37	1003	12201
38	1024	12114
39	1061	12204
40	1089	12198
41	1129	12317
42	1158	12309
43	1173	12163
44	1197	12106
45	1231	12149
46	1239	11947
47	1252	11793
48	1270	11697
49	1307	11771
50	1339	11795
51	1365	11763
52	1396	11775
53	1431	11823
54	1440	11652
55	1454	11535
56	1466	11399
57	1475	11247
58	1495	11177
59	1532	11234
60	1579	11363
61	1623	11468
62	1644	11410
63	1693	11534
64	1738	11635
65	1784	11734
66	1825	11794
67	1868	11872
68	1900	11873
69	1929	11852
70	1955	11814
71	1980	11770
72	2011	11763
73	2038	11737
74	2079	11784
75	2116	11808
76	2126	11681
77	2147	11620
78	2188	11660
79	2218	11644
80	2243	11607
81	2279	11621
82	2294	11528
83	2309	11436
84	2345	11450
85	2382	11468
86	2405	11420
87	2447	11458
88	2490	11501
89	2507	11423
90	2523	11343
91	2534	11238
92	2546	11143
93	2554	11031
94	2599	11082
95	2644	11128
96	2675	11115
97	2717	11146
98	2748	11131
99	2790	11163
100	2815	11122
101	2836	11069
102	2847	10976
103	2857	10881
104	2863	10771
105	2873	10682
106	2896	10638
107	2937	10663
108	2964	10634
109	3013	10683
110	3045	10673
111	3073	10648
112	3093	10593
113	3115	10550
114	3149	10542
115	3176	10515
116	3208	10504
117	3240	10491
118	3274	10484
119	3301	10455
120	3335	10448
121	3363	10420
122	3398	10417
123	3426	10389
124	3460	10381
125	3482	10337
126	3512	10317
127	3551	10321
128	3589	10322
129	3617	10297
130	3650	10283
131	3673	10240
132	3687	10174
133	3711	10137
134	3733	10094
135	3744	10021
136	3756	9953
137	3773	9899
138	3797	9861
139	3838	9870
140	3883	9887
141	3930	9908
142	3958	9882
143	3994	9874
144	4039	9888
145	4082	9897
146	4100	9846
147	4110	9776
148	4128	9724
149	4159	9704
150	4185	9673
151	4224	9671
152	4256	9653
153	4280	9616
154	4295	9561
155	4303	9490
156	4331	9462
157	4364	9448
158	4389	9412
159	4415	9383
160	4447	9365
161	4489	9367
162	4522	9349
163	4535	9292
164	4557	9253
165	4581	9217
166	4618	9210
167	4648	9186
168	4680	9166
169	4708	9140
170	4738	9117
171	4749	9056
172	4772	9021
173	4808	9009
174	4851	9010
175	4866	8959
176	4886	8917
177	4929	8918
178	4967	8908
179	5007	8902
180	5044	8891
181	5086	8887
182	5116	8862
183	5145	8836
184	5189	8835
185	5224	8820
186	5261	8805
187	5293	8784
188	5321	8756
189	5350	8730
190	5386	8713
191	5427	8706
192	5451	8671
193	5484	8650
194	5521	8635
195	5549	8607
196	5578	8579
197	5594	8532
198	5620	8501
199	5644	8467
200	5670	8435
201	5709	8422
202	5752	8415
203	5790	8401
204	5821	8376
205	5856	8358
206	5900	8352
207	5933	8330
208	5947	8280
209	5971	8245
210	6012	8235
211	6038	8203
212	6065	8172
213	6082	8129
214	6098	8083
215	6109	8032
216	6127	7990
217	6144	7948
218	6156	7899
