iter	Passed	Remaining
407	5708	1287
408	5721	1273
409	5738	1259
410	5751	1245
411	5765	1231
412	5781	1217
413	5795	1203
414	5807	1189
415	5825	1176
416	5839	1162
417	5854	1148
418	5869	1134
419	5881	1120
420	5898	1106
421	5912	1092
422	5928	1079
423	5941	1064
424	5953	1050
425	5965	1036
426	5978	1022
427	5992	1008
428	6007	994
429	6019	979
430	6038	966
431	6050	952
432	6066	938
433	6081	924
434	6094	910
435	6107	896
436	6121	882
437	6137	868
438	6151	854
439	6166	840
440	6179	826
441	6192	812
442	6204	798
443	6223	784
444	6236	770
445	6252	757
446	6267	743
447	6281	729
448	6292	714
449	6306	700
450	6321	686
451	6333	672
452	6348	658
453	6367	645
454	6380	631
455	6394	616
456	6407	602
457	6422	588
458	6436	574
459	6449	560
460	6463	546
461	6476	532
462	6489	518
463	6504	504
464	6519	490
465	6532	476
466	6545	462
467	6557	448
468	6571	434
469	6584	420
470	6601	406
471	6614	392
472	6628	378
473	6643	364
474	6655	350
475	6670	336
476	6684	322
477	6696	308
478	6712	294
479	6727	280
480	6741	266
481	6754	252
482	6766	238
483	6780	224
484	6795	210
485	6807	196
486	6824	182
487	6837	168
488	6856	154
489	6869	140
490	6880	126
491	6897	112
492	6911	98
493	6924	84
494	6937	70
495	6949	56
496	6961	42
497	6974	28
498	6988	14
499	7003	0
